storeNumber,id,name,phoneNumber,brandName,ownershipTypeCode,open,openStatusText,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,countryCode,postalCode
55298-289122,1024933,78-80 Dufferin Street,3434028352,Starbucks,CO,TRUE,Open until 09:00,44.908766,-76.265845,78-80 Dufferin Street,NA,NA,Perth,ON,CA,K7H 2R9
4904-114726,508,505 McNeely Road,613-253-1760,Starbucks,CO,TRUE,Open until 09:30,45.132047,-76.119243,505 McNeely Road,NA,Carleton Place Colonnade,Carleton Place,ON,CA,K7C 0A8
57873-290737,1027739,123 Lombard Street,6134850312,Starbucks,CO,TRUE,Open until 09:00,44.890498,-76.031403,123 Lombard Street,NA,NA,Smiths Falls,ON,CA,K7A 5B8
52378-278465,1025696,8555 Campeau Drive,3439985876,Starbucks,CO,TRUE,Open until 09:30,45.295791,-75.939319,8555 Campeau Drive,NA,Tanger Outlets Ottawa,Ottawa,ON,CA,K2S 1B9
4575-95544,939,500 Terry Fox Drive,613-254-5775,Starbucks,CO,TRUE,Open until 09:30,45.308831,-75.916744,500 Terry Fox Drive,NA,NA,Kanata,ON,CA,K2T 1C3
4336-1907,1279,400 Earl Grey Drive,613-599-6680,Starbucks,CO,TRUE,Open until 07:00,45.311608,-75.914139,400 Earl Grey Drive,NA,NA,Kanata,ON,CA,K2T 1B9
4922-107288,837,690 Eagleson Road,613-595-1569,Starbucks,CO,TRUE,Open until 10:00,45.286754,-75.867724,690 Eagleson Road,NA,NA,Ottawa,ON,CA,K2M 2G9
4472-274490,1018080,457 Hazeldean Road,6138363663,Starbucks,CO,TRUE,Open until 10:00,45.300168,-75.885751,457 Hazeldean Road,NA,NA,Kanata,ON,CA,K2L 1V1
53909-286089,1022248,5055 Innovation Drive,6134625893,Starbucks,CO,TRUE,Open until 09:30,45.34419,-75.930411,5055 Innovation Drive,NA,NA,Kanata,ON,CA,K2K 3K1
60967-295228,1029113,4055 Carling Ave,3439967164,Starbucks,CO,TRUE,Open until 09:00,45.338501,-75.907865,4055 Carling Ave,1,NA,Kanata,ON,CA,K2K 2A4
4458-84661,1351,1831 Robertson Road,613-726-6565,Starbucks,CO,TRUE,Open until 08:00,45.328247,-75.818912,1831 Robertson Road,NA,Stafford Centre,Nepean,ON,CA,K2H 8X3
60046-292771,1025395,loblaws  ottawa greenbank rd #1035,6138250812,Starbucks,LS,TRUE,Open until 08:00,45.268559,-75.743819,3201 Greenbank Rd,NA,NA,Ottawa,ON,CA,k2j 4h9
15908-154985,66437,1181 Greenbank Road,6138430265,Starbucks,CO,TRUE,Open until 10:00,45.274453,-75.748235,1181 Greenbank Road,NA,NA,Ottawa,ON,CA,K2J 4Y6
49671-270244,1020858,3000 Wellington Road,6134102291,Starbucks,CO,TRUE,Open until 09:00,45.030333,-75.634758,3000 Wellington Road,NA,NA,Kemptville,ON,CA,K0G 1J0
15700-162804,68127,100 Bayshore Drive,613-828-6732,Starbucks,CO,TRUE,Open until 07:30,45.347583,-75.806783,100 Bayshore Drive,K30,Bayshore Shopping Centre,Ottawa,ON,CA,K2B 8C1
4683-100798,478,3302 Woodroffe Avenue,613-823-9903,Starbucks,CO,TRUE,Open until 10:00,45.275131,-75.718766,3302 Woodroffe Avenue,NA,NA,Ottawa,ON,CA,K2J 4G5
4287-919,1282,2735 Iris Street,(613) 820-0032,Starbucks,CO,TRUE,Open until 09:30,45.349511,-75.787953,2735 Iris Street,NA,NA,Ottawa,ON,CA,K2C 3S4
51937-280068,1019669,1379 Woodroffe Avenue,343 9997013,Starbucks,CO,TRUE,Open until 09:00,45.350365,-75.761738,1379 Woodroffe Avenue,NA,NA,Nepean,ON,CA,K2G 1V7
17799-168425,90549,Algonquin College-Student Commons,613 727-4723,Starbucks,LS,TRUE,Open until 04:00,45.349959,-75.75625,1385 Woodroffe Ave,NA,NA,Ottawa,ON,CA,K2G 1V8
4824-108289,893,2222 Carling Avenue,613-828-7729,Starbucks,CO,TRUE,Open until 08:00,45.36909,-75.772213,2222 Carling Avenue,Unit 1,NA,Ottawa,ON,CA,K2A 1H3
19795-184746,1005776,330 West Hunt-Ottawa,613 224 7342,Starbucks,CO,TRUE,Open until 09:30,45.339056,-75.712241,330 West Hunt Club Road,NA,NA,Ottawa,ON,CA,K2E 0B7
16466-157825,87037,1350 Baseline Road,613-226-8606,Starbucks,CO,TRUE,Open until 10:00,45.362723,-75.736507,1350 Baseline Road,NA,Loblaws Centre,Ottawa,ON,CA,K2C 0A9
47082-255356,1015395,495 Chemin Vanier,8193250089,Starbucks,CO,TRUE,Open until 08:00,45.41608,-75.806486,495 Vanier Road,NA,NA,Gatineau,QC,CA,J9J 3J1
