name,phoneNumber,hasDineIn,hasDriveThru,lat,lon,address1,address2,city,country,postalCode,stateProvince,stateProvinceShort
"100 METCALFE STREET OTTAWA, Ontario K1P 0A7 - Canada",6132328910,FALSE,FALSE,45.421099,-75.696023,100 METCALFE STREET,,OTTAWA,Canada,K1P 0A7,Ontario,ON
"171 SLATER STREET OTTAWA, Ontario K1P 5H7 - Canada",6135694767,TRUE,FALSE,45.420179,-75.697915,171 SLATER STREET,,OTTAWA,Canada,K1P 5H7,Ontario,ON
"90 ELGIN STREET OTTAWA, Ontario K1P 0C6 - Canada",6132386444,FALSE,FALSE,45.422085,-75.69477,90 ELGIN STREET,,OTTAWA,Canada,K1P 0C6,Ontario,ON
"161 LAURIER AVE OTTAWA, Ontario K1P 5J2 - Canada",6137875999,TRUE,FALSE,45.420454,-75.694452,161 LAURIER AVE,,OTTAWA,Canada,K1P 5J2,Ontario,ON
"200 SPARKS STREET OTTAWA, Ontario K1P 5C1 - Canada",6134221317,TRUE,FALSE,45.421363,-75.70095,200 SPARKS STREET,,OTTAWA,Canada,K1P 5C1,Ontario,ON
"187 BANK STREET OTTAWA, Ontario K2P 1W7 - Canada",6132344777,TRUE,FALSE,45.417966,-75.698599,187 BANK STREET,,OTTAWA,Canada,K2P 1W7,Ontario,ON
"275 SLATER ST OTTAWA, Ontario K1P 5H9 - Canada",6132300555,TRUE,FALSE,45.41863,-75.701413,275 SLATER ST,,OTTAWA,Canada,K1P 5H9,Ontario,ON
"263 Bank Street Ottawa, Ontario K2P 1X5 - Canada",6133210391,TRUE,FALSE,45.41634,-75.697204,263 Bank Street,,Ottawa,Canada,K2P 1X5,Ontario,ON
"50 RIDEAU STREET OTTAWA, Ontario K1N 9J7 - Canada",6132355522,TRUE,FALSE,45.425823,-75.691672,50 RIDEAU STREET,,OTTAWA,Canada,K1N 9J7,Ontario,ON
"330 QUEEN ST OTTAWA, Ontario K1R 7Y5 - Canada",6132325021,TRUE,FALSE,45.419047,-75.70399,330 QUEEN ST,,OTTAWA,Canada,K1R 7Y5,Ontario,ON
"99-99 RIDEAU STREET OTTAWA, Ontario K1N 9L8 - Canada",6137893323,TRUE,FALSE,45.426206,-75.691604,99-99 RIDEAU STREET,,OTTAWA,Canada,K1N 9L8,Ontario,ON
"525 SOMERSET STREET WEST OTTAWA, Ontario K1R 5W6 - Canada",6135652629,TRUE,FALSE,45.413303,-75.7018,525 SOMERSET STREET WEST,,OTTAWA,Canada,K1R 5W6,Ontario,ON
"450 BANK STREET KANATA, Ontario K2K 1X7 - Canada",6132385885,TRUE,FALSE,45.411837,-75.693483,450 BANK STREET,,KANATA,Canada,K2K 1X7,Ontario,ON
"423 Cumberland St OTTAWA, Ontario K1N 0B5 - Canada",613-789-6444,TRUE,FALSE,45.427928,-75.687176,423 Cumberland St,,OTTAWA,Canada,K1N 0B5,Ontario,ON
"11, RUE LAURIER GATINEAU, Quebec J8X 4A6 - Canada",8197777460,TRUE,FALSE,45.425993,-75.714109,"11, RUE LAURIER",,GATINEAU,Canada,J8X 4A6,Quebec,QC
"655 Bronson Avenue Ottawa, Ontario K1S 4E7 - Canada",6132303343,TRUE,FALSE,45.403892,-75.70143,655 Bronson Avenue,,Ottawa,Canada,K1S 4E7,Ontario,ON
"15, RUE EDDY GATINEAU, Quebec J8X 4B3 - Canada",8197786596,TRUE,FALSE,45.42512,-75.720301,"15, RUE EDDY",,GATINEAU,Canada,J8X 4B3,Quebec,QC
"115 MONTREAL RD VANIER, Ontario K1L 6E8 - Canada",6137498851,TRUE,FALSE,45.434262,-75.666398,115 MONTREAL RD,,VANIER,Canada,K1L 6E8,Ontario,ON
"1125 COLONEL BY DRIVE OTTAWA, Ontario K1S 5B6 - Canada",6135202600,FALSE,FALSE,45.387053,-75.69748,1125 COLONEL BY DRIVE,,OTTAWA,Canada,K1S 5B6,Ontario,ON
"1263-1265 BANK STREET OTTAWA, Ontario K1S 3Y2 - Canada",6137369118,TRUE,FALSE,45.390584,-75.679726,1263-1265 BANK STREET,,OTTAWA,Canada,K1S 3Y2,Ontario,ON
"40 RUSKIN AVENUE OTTAWA, Ontario K1Y 4W7 - Canada",613-325-5536,TRUE,FALSE,45.39443,-75.721067,40 RUSKIN AVENUE,OTTAWA HEART INSTITUTE,OTTAWA,Canada,K1Y 4W7,Ontario,ON
"1967 Riverside Drive Ottawa, Ontario K1H 7W9 - Canada",613-421-0123,TRUE,FALSE,45.397067,-75.668484,1967 Riverside Drive,,Ottawa,Canada,K1H 7W9,Ontario,ON
"Ottawa Civic Hospital OTTAWA, Ontario K1Y 4E9 - Canada",6137616003,TRUE,FALSE,45.392504,-75.722326,Ottawa Civic Hospital,OTTAWA GENERAL HOSPITAL CIVIC CAMPUS,OTTAWA,Canada,K1Y 4E9,Ontario,ON
"46 Boulevard Greber Gatineau, Quebec J8T 3P6 - Canada",8195619009,TRUE,TRUE,45.460955,-75.702454,46 Boulevard Greber,,Gatineau,Canada,J8T 3P6,Quebec,QC
"2277 RIVERSIDE DRIVE OTTAWA, Ontario K1H 7X6 - Canada",6137360428,FALSE,FALSE,45.385759,-75.67743,2277 RIVERSIDE DRIVE,BILLINGSBRIDGE SHOPPING CENTRE,OTTAWA,Canada,K1H 7X6,Ontario,ON
"1583 ALTA VISTA OTTAWA, Ontario K1G 0E9 - Canada",6135264400,FALSE,TRUE,45.408294,-75.658141,1583 ALTA VISTA,,OTTAWA,Canada,K1G 0E9,Ontario,ON
"650, BOUL. ST-JOSEPH GATINEAU, Quebec J8Y 4A8 - Canada",8197760074,TRUE,TRUE,45.45199,-75.738209,"650, BOUL. ST-JOSEPH",,GATINEAU,Canada,J8Y 4A8,Quebec,QC
"1600 BANK ST OTTAWA, Ontario K1V 7Y6 - Canada",6132603064,TRUE,FALSE,45.378068,-75.667429,1600 BANK ST,,OTTAWA,Canada,K1V 7Y6,Ontario,ON
"1406 PRINCE OF WALES DRIVE OTTAWA, Ontario K2C 1N6 - Canada",6137271772,TRUE,FALSE,45.369081,-75.7021,1406 PRINCE OF WALES DRIVE,,OTTAWA,Canada,K2C 1N6,Ontario,ON
"1611 BANK STREET OTTAWA, Ontario K1V 7Y8 - Canada",6132601440,TRUE,TRUE,45.37827,-75.666977,1611 BANK STREET,,OTTAWA,Canada,K1V 7Y8,Ontario,ON
"25, CH. DE LA SAVANE GATINEAU, Quebec J8T 8A4 - Canada",8195610296,TRUE,TRUE,45.474122,-75.704971,"25, CH. DE LA SAVANE",,GATINEAU,Canada,J8T 8A4,Quebec,QC
"535 TERMINAL AVE OTTAWA, Ontario K1G 0Z2 - Canada",6132440118,TRUE,TRUE,45.414723,-75.643608,535 TERMINAL AVE,,OTTAWA,Canada,K1G 0Z2,Ontario,ON
"1100, BOULEVARD MALONEY OUEST Gatineau, Quebec J8T 6G3 - Canada",8195253898,FALSE,FALSE,45.475736,-75.697035,"1100, BOULEVARD MALONEY OUEST",,Gatineau,Canada,J8T 6G3,Quebec,QC
"501 SMYTH ROAD OTTAWA, Ontario K1H 8L6 - Canada",6135263196,TRUE,FALSE,45.402029,-75.646051,501 SMYTH ROAD,THE OTTAWA HOSPITAL-GENERAL CAMPUS,OTTAWA,Canada,K1H 8L6,Ontario,ON
"585 MONTREAL ROAD OTTAWA, Ontario K1K 4K3 - Canada",6137413085,TRUE,TRUE,45.442426,-75.644621,585 MONTREAL ROAD,,OTTAWA,Canada,K1K 4K3,Ontario,ON
"631 INDUSTRIAL AVENUE OTTAWA, Ontario K1G 0Z1 - Canada",6132489058,FALSE,TRUE,45.411161,-75.640794,631 INDUSTRIAL AVENUE,,OTTAWA,Canada,K1G 0Z1,Ontario,ON
"1239 DONALD STREET OTTAWA, Ontario K1J 8W3 - Canada",6137427700,TRUE,TRUE,45.429542,-75.639788,1239 DONALD STREET,,OTTAWA,Canada,K1J 8W3,Ontario,ON
"1200 ST LAURENT BOULEVARD OTTAWA, Ontario K1K 3B8 - Canada",6138428101,TRUE,FALSE,45.422462,-75.637687,1200 ST LAURENT BOULEVARD,ST. LAURENT SHOPPING CENTRE,OTTAWA,Canada,K1K 3B8,Ontario,ON
"894, BOUL. ST-JOSEPH GATINEAU, Quebec J8Z 1S9 - Canada",8197762552,TRUE,TRUE,45.464576,-75.738549,"894, BOUL. ST-JOSEPH",,GATINEAU,Canada,J8Z 1S9,Quebec,QC
"378, BOUL. GREBER GATINEAU, Quebec J8T 5R6 - Canada",8192469000,TRUE,TRUE,45.481218,-75.701766,"378, BOUL. GREBER",,GATINEAU,Canada,J8T 5R6,Quebec,QC
"1260 MERIVALE RD OTTAWA, Ontario K2C 4A7 - Canada",6137617080,FALSE,TRUE,45.37047,-75.732532,1260 MERIVALE RD,,OTTAWA,Canada,K2C 4A7,Ontario,ON
"640, BOUL. MALONEY OUEST WALMART #3125 GATINEAU, Quebec J8P 7M4 - Canada",8192461793,TRUE,FALSE,45.481261,-75.676223,"640, BOUL. MALONEY OUEST WALMART #3125",,GATINEAU,Canada,J8P 7M4,Quebec,QC
"210, BOUL. DE LA CITE DES JEUNES GATINEAU, Quebec J8Y 6L1 - Canada",8199391111,TRUE,TRUE,45.449227,-75.754392,"210, BOUL. DE LA CITE DES JEUNES",,GATINEAU,Canada,J8Y 6L1,Quebec,QC
