from_stop_id,to_stop_id,transfer_type,min_transfer_time
AA010,AA020,2,300
AA010,CC570,2,300
AA020,AA010,2,300
AA020,CC570,2,300
AA030,AA040,2,300
AA035,AA050,2,300
AA040,AA030,2,300
AA050,AA035,2,300
AA050,AA060,2,300
AA060,AA050,2,300
AA070,AA080,2,300
AA080,AA070,2,300
AA090,AA100,2,300
AA100,AA090,2,300
AA110,AA120,2,300
AA120,AA110,2,300
AA130,AA140,2,300
AA130,CC140,2,300
AA140,AA130,2,300
AA150,AA160,2,300
AA160,AA150,2,300
AA170,AA180,2,300
AA180,AA170,2,300
AA210,AA340,2,300
AA210,AA350,2,300
AA221,AA340,2,300
AA221,AB050,2,300
AA231,AA240,2,300
AA231,AB055,2,300
AA240,AA231,2,300
AA240,AB055,2,300
AA240,AB450,2,300
AA251,AA260,2,300
AA251,AB060,2,300
AA251,AB065,2,300
AA260,AA251,2,300
AA260,AB060,2,300
AA260,AB065,2,300
AA270,AA280,2,300
AA270,AB065,2,300
AA280,AA270,2,300
AA280,AB065,2,300
AA300,AA310,2,300
AA310,AA300,2,300
AA310,AA320,2,300
AA320,AA310,2,300
AA320,AA330,2,300
AA325,AA335,2,300
AA330,AA320,2,300
AA335,AA325,2,300
AA340,AA210,2,300
AA340,AA221,2,300
AA340,AA350,2,300
AA350,AA210,2,300
AA350,AA340,2,300
AA350,AA360,2,300
AA360,AA350,2,300
AA360,AA370,2,300
AA360,AA380,2,300
AA370,AA360,2,300
AA370,AA380,2,300
AA380,AA360,2,300
AA380,AA370,2,300
AA400,AA410,2,300
AA410,AA400,2,300
AB050,AA221,2,300
AB055,AA231,2,300
AB055,AA240,2,300
AB055,AB450,2,300
AB055,AB455,2,300
AB060,AA251,2,300
AB060,AA260,2,300
AB060,AB065,2,300
AB065,AA251,2,300
AB065,AA260,2,300
AB065,AA270,2,300
AB065,AA280,2,300
AB065,AB060,2,300
AB070,AB075,2,300
AB075,AB070,2,300
AB080,AB085,2,300
AB080,AB120,2,300
AB080,AB130,2,300
AB085,AB080,2,300
AB085,AB110,2,300
AB085,AB120,2,300
AB085,AB130,2,300
AB100,AB110,2,300
AB110,AB085,2,300
AB110,AB100,2,300
AB110,AB120,2,300
AB110,AB130,2,300
AB120,AB080,2,300
AB120,AB085,2,300
AB120,AB110,2,300
AB120,AB130,2,300
AB130,AB080,2,300
AB130,AB085,2,300
AB130,AB110,2,300
AB130,AB120,2,300
AB185,AB195,2,300
AB195,AB185,2,300
AB290,AB310,2,300
AB290,AB320,2,300
AB290,AB620,2,300
AB290,AB630,2,300
AB310,AB290,2,300
AB310,AB320,2,300
AB310,AB620,2,300
AB310,AB630,2,300
AB320,AB290,2,300
AB320,AB310,2,300
AB320,AB620,2,300
AB320,AB630,2,300
AB330,AB340,2,300
AB330,AB600,2,300
AB330,AB611,2,300
AB340,AB330,2,300
AB340,AB611,2,300
AB350,AB360,2,300
AB350,AB570,2,300
AB350,AB580,2,300
AB360,AB350,2,300
AB360,AB395,2,300
AB360,AB570,2,300
AB370,AB380,2,300
AB370,AB385,2,300
AB380,AB370,2,300
AB380,AB385,2,300
AB385,AB370,2,300
AB385,AB380,2,300
AB385,AB560,2,300
AB390,AB395,2,300
AB390,AB550,2,300
AB390,AB560,2,300
AB390,AC210,2,300
AB390,AC215,2,300
AB395,AB360,2,300
AB395,AB390,2,300
AB395,AB550,2,300
AB395,AB560,2,300
AB395,AC210,2,300
AB395,AC215,2,300
AB450,AA240,2,300
AB450,AB055,2,300
AB450,AB455,2,300
AB455,AB055,2,300
AB455,AB450,2,300
AB456,AB458,2,300
AB458,AB456,2,300
AB460,AB470,2,300
AB470,AB460,2,300
AB480,AB510,2,300
AB480,AB520,2,300
AB480,AD110,2,300
AB490,AD200,2,300
AB490,AD210,2,300
AB490,AD220,2,300
AB490,AD230,2,300
AB500,AD210,2,300
AB500,AD230,2,300
AB510,AB480,2,300
AB510,AB520,2,300
AB510,AD110,2,300
AB520,AB480,2,300
AB520,AB510,2,300
AB520,AD110,2,300
AB530,AB540,2,300
AB530,AD090,2,300
AB530,AD100,2,300
AB540,AB530,2,300
AB540,AD090,2,300
AB550,AB390,2,300
AB550,AB395,2,300
AB550,AB560,2,300
AB550,AC210,2,300
AB550,AC215,2,300
AB560,AB385,2,300
AB560,AB390,2,300
AB560,AB395,2,300
AB560,AB550,2,300
AB560,AC210,2,300
AB560,AC215,2,300
AB570,AB350,2,300
AB570,AB360,2,300
AB570,AB580,2,300
AB580,AB350,2,300
AB580,AB570,2,300
AB580,AC200,2,300
AB580,AC205,2,300
AB600,AB330,2,300
AB600,AB611,2,300
AB611,AB330,2,300
AB611,AB340,2,300
AB611,AB600,2,300
AB620,AB290,2,300
AB620,AB310,2,300
AB620,AB320,2,300
AB620,AB630,2,300
AB630,AB290,2,300
AB630,AB310,2,300
AB630,AB320,2,300
AB630,AB620,2,300
AB640,AB650,2,300
AB650,AB640,2,300
AB660,AB670,2,300
AB670,AB660,2,300
AB680,AB690,2,300
AB690,AB680,2,300
AB700,EA350,2,300
AB700,EA360,2,300
AB700,EB050,2,300
AB700,EB060,2,300
AB700,EB070,2,300
AB700,EB080,2,300
AC010,AC020,2,300
AC020,AC010,2,300
AC030,AC035,2,300
AC030,AC200,2,300
AC030,AC205,2,300
AC035,AC030,2,300
AC035,AC200,2,300
AC050,AC060,2,300
AC060,AC050,2,300
AC080,AC090,2,300
AC090,AC080,2,300
AC100,AC110,2,300
AC110,AC100,2,300
AC120,AC130,2,300
AC130,AC120,2,300
AC140,AC150,2,300
AC150,AC140,2,300
AC180,EB140,2,300
AC180,EB150,2,300
AC200,AB580,2,300
AC200,AC030,2,300
AC200,AC035,2,300
AC200,AC205,2,300
AC205,AB580,2,300
AC205,AC030,2,300
AC205,AC200,2,300
AC210,AB390,2,300
AC210,AB395,2,300
AC210,AB550,2,300
AC210,AB560,2,300
AC210,AC215,2,300
AC215,AB390,2,300
AC215,AB395,2,300
AC215,AB550,2,300
AC215,AB560,2,300
AC215,AC210,2,300
AD030,AD040,2,300
AD030,AD060,2,300
AD030,AD360,2,300
AD030,AD370,2,300
AD040,AD030,2,300
AD040,AD360,2,300
AD040,AD370,2,300
AD050,AD060,2,300
AD050,AD070,2,300
AD050,AD080,2,300
AD050,AD360,2,300
AD050,AD370,2,300
AD060,AD030,2,300
AD060,AD050,2,300
AD060,AD360,2,300
AD060,AD370,2,300
AD070,AD050,2,300
AD070,AD080,2,300
AD080,AD050,2,300
AD080,AD070,2,300
AD085,AD090,2,300
AD085,AD100,2,300
AD090,AB530,2,300
AD090,AB540,2,300
AD090,AD085,2,300
AD090,AD100,2,300
AD100,AB530,2,300
AD100,AD085,2,300
AD100,AD090,2,300
AD110,AB480,2,300
AD110,AB510,2,300
AD110,AB520,2,300
AD110,AD140,2,300
AD110,AD145,2,300
AD135,AD260,2,300
AD135,AD265,2,300
AD135,AD270,2,300
AD135,AD280,2,300
AD140,AD110,2,300
AD140,AD145,2,300
AD145,AD110,2,300
AD145,AD140,2,300
AD200,AB490,2,300
AD200,AD210,2,300
AD200,AD220,2,300
AD210,AB490,2,300
AD210,AB500,2,300
AD210,AD200,2,300
AD210,AD220,2,300
AD210,AD230,2,300
AD220,AB490,2,300
AD220,AD200,2,300
AD220,AD210,2,300
AD220,AD230,2,300
AD230,AB490,2,300
AD230,AB500,2,300
AD230,AD210,2,300
AD230,AD220,2,300
AD230,AD260,2,300
AD260,AD135,2,300
